Title,Year/Crew,Rating,Link
66 Spider-Man: Een nieuw universum (2018),"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.339033846570631,https://www.imdb.com/title/tt4633694/
67 American Beauty (1999),"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.329254215660706,https://www.imdb.com/title/tt0169547/
68 Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.326871669113665,https://www.imdb.com/title/tt0057012/
69 The Dark Knight Rises (2012),"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.326031293289025,https://www.imdb.com/title/tt1345836/
70 Oldboy (2003),"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",8.319986265303669,https://www.imdb.com/title/tt0364569/
71 Inglourious Basterds (2009),"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.319205986404285,https://www.imdb.com/title/tt0361748/
72 Amadeus (1984),"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.316288488544611,https://www.imdb.com/title/tt0086879/
73 Coco (2017),"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.31523084506267,https://www.imdb.com/title/tt2380307/
74 Toy Story (1995),"John Lasseter (dir.), Tom Hanks, Tim Allen",8.314104563319695,https://www.imdb.com/title/tt0114709/
75 Braveheart (1995),"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.312497340670133,https://www.imdb.com/title/tt0112573/
76 Joker (2019),"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.312276538777443,https://www.imdb.com/title/tt7286456/
77 Das Boot (1981),"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.311419943020267,https://www.imdb.com/title/tt0082096/
78 Avengers: Endgame (2019),"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.303502546436075,https://www.imdb.com/title/tt4154796/
79 Princess Mononoke (1997),"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.303000482034012,https://www.imdb.com/title/tt0119698/
80 Once Upon a Time in America (1984),"Sergio Leone (dir.), Robert De Niro, James Woods",8.294443923307758,https://www.imdb.com/title/tt0087843/
81 Good Will Hunting (1997),"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.293338081891072,https://www.imdb.com/title/tt0119217/
82 Your Name (2016),"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi",8.283305986511381,https://www.imdb.com/title/tt5311514/
83 Singin' in the Rain (1952),"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.275275730223797,https://www.imdb.com/title/tt0045152/
84 3 Idiots (2009),"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.27480478466338,https://www.imdb.com/title/tt1187043/
85 Requiem for a Dream (2000),"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.273383630202275,https://www.imdb.com/title/tt0180093/
86 High and Low (1963),"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.272433732227121,https://www.imdb.com/title/tt0057565/
87 Toy Story 3 (2010),"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.270212942461553,https://www.imdb.com/title/tt0435761/
88 Capernaum (2018),"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.26762712594266,https://www.imdb.com/title/tt8267604/
89 Star Wars: Episode VI - Return of the Jedi (1983),"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.264018667056714,https://www.imdb.com/title/tt0086190/
90 2001: Een zwerftocht in de ruimte (1968),"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.261427884955827,https://www.imdb.com/title/tt0062622/
91 Eternal Sunshine of the Spotless Mind (2004),"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.261286813670456,https://www.imdb.com/title/tt0338013/
92 Idi i smotri (1985),"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.259625428362678,https://www.imdb.com/title/tt0091251/
93 Reservoir Dogs (1992),"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.258294198440586,https://www.imdb.com/title/tt0105236/
94 The Hunt (2012),"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.257370683051219,https://www.imdb.com/title/tt2106476/
95 Citizen Kane (1941),"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.249417660578784,https://www.imdb.com/title/tt0033467/
96 Lawrence of Arabia (1962),"David Lean (dir.), Peter O'Toole, Alec Guinness",8.249065301798728,https://www.imdb.com/title/tt0056172/
97 M - Eine Stadt sucht einen Mörder (1931),"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.248741796393302,https://www.imdb.com/title/tt0022100/
98 North by Northwest (1959),"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.245277546689609,https://www.imdb.com/title/tt0053125/
99 Ikiru (1952),"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.245010868309489,https://www.imdb.com/title/tt0044741/
100 Vertigo (1958),"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.242484392816229,https://www.imdb.com/title/tt0052357/
101 Het appartement (1960),"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.24184347317828,https://www.imdb.com/title/tt0053604/
102 Le fabuleux destin d'Amélie Poulain (2001),"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.240607296001334,https://www.imdb.com/title/tt0211915/
103 Bloedgeld (1944),"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.237965401142299,https://www.imdb.com/title/tt0036775/
104 A Clockwork Orange (1971),"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.237656584129695,https://www.imdb.com/title/tt0066921/
105 Full Metal Jacket (1987),"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.236701782298876,https://www.imdb.com/title/tt0093058/
106 Scarface (1983),"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.234876479347355,https://www.imdb.com/title/tt0086250/
107 Hamilton (2020),"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.230994843195296,https://www.imdb.com/title/tt8503618/
108 Incendies (2010),"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.227124381751084,https://www.imdb.com/title/tt1255953/
109 Heat (1995),"Michael Mann (dir.), Al Pacino, Robert De Niro",8.22603515366516,https://www.imdb.com/title/tt0113277/
110 To Kill a Mockingbird (1962),"Robert Mulligan (dir.), Gregory Peck, John Megna",8.225457162501424,https://www.imdb.com/title/tt0056592/
111 Up (2009),"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.224830616717643,https://www.imdb.com/title/tt1049413/
112 The Sting (1973),"George Roy Hill (dir.), Paul Newman, Robert Redford",8.224400104618825,https://www.imdb.com/title/tt0070735/
113 A Separation (2011),"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.221171842423955,https://www.imdb.com/title/tt1832382/
114 Metropolis (1927),"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.220866082855226,https://www.imdb.com/title/tt0017136/
115 Taxi Driver (1976),"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.21844124743276,https://www.imdb.com/title/tt0075314/
116 LA Confidential (1997),"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.21819324445753,https://www.imdb.com/title/tt0119488/
117 Die Hard (1988),"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.217579481209086,https://www.imdb.com/title/tt0095016/
118 Snatch (2000),"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.216652904697165,https://www.imdb.com/title/tt0208092/
119 Indiana Jones and the Last Crusade (1989),"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.216618525708572,https://www.imdb.com/title/tt0097576/
120 Ladri di biciclette (1948),"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.2153923807508,https://www.imdb.com/title/tt0040522/
121 Top Gun: Maverick (2022),"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.212477350958483,https://www.imdb.com/title/tt1745960/
122 Taare Zameen Par (2007),"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.212092012922678,https://www.imdb.com/title/tt0986264/
123 1917 (2019),"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.211150158732288,https://www.imdb.com/title/tt8579674/
124 Der Untergang (2004),"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.203071552846119,https://www.imdb.com/title/tt0363163/
125 Dangal (2016),"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.19953702702803,https://www.imdb.com/title/tt5074352/
126 For a Few Dollars More (1965),"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.198923149790867,https://www.imdb.com/title/tt0059578/
127 Batman Begins (2005),"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.196948670656361,https://www.imdb.com/title/tt0372784/
128 The Kid (1921),"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.190641006009852,https://www.imdb.com/title/tt0012349/
129 Some Like It Hot (1959),"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.19015388363132,https://www.imdb.com/title/tt0053291/
130 The Father (2020),"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.18203353410779,https://www.imdb.com/title/tt10272386/
131 All About Eve (1950),"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.180179307551308,https://www.imdb.com/title/tt0042192/
132 The Wolf of Wall Street (2013),"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.178439993627237,https://www.imdb.com/title/tt0993846/
133 Green Book (2018),"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.177722858327288,https://www.imdb.com/title/tt6966692/
134 Oordeel te Neurenberg (1961),"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.171459626278539,https://www.imdb.com/title/tt0055031/
135 Ran (1985),"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.164649374493626,https://www.imdb.com/title/tt0089881/
136 Casino (1995),"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.163962026339284,https://www.imdb.com/title/tt0112641/
137 The Truman Show (1998),"Peter Weir (dir.), Jim Carrey, Ed Harris",8.161967218298873,https://www.imdb.com/title/tt0120382/
138 There Will Be Blood (2007),"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.160936831057736,https://www.imdb.com/title/tt0469494/
139 Pan's Labyrinth (2006),"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.160122257502637,https://www.imdb.com/title/tt0457430/
